;;;;;Recepcion;;;;;Balanza;;;;;Darsena 1;;;;Darsena 2
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Estado;Camion;Prox fin atencion;Cola
Llega camion;1;1;5hs 7min 1s;0hs 7min 53s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;1;1;5hs 13min 59s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Llega camion;2;1;5hs 14min 55s;0hs 7min 18s;Libre; - ;0hs 0min 0s;1;Ocupado;1;0hs 5min 6s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;2;1;5hs 18min 49s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;1;0hs 1min 12s;1;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Balanza;1;1;5hs 20min 1s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;2;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;1
Llega camion;3;1;5hs 22min 14s;0hs 7min 23s;Libre; - ;0hs 0min 0s;1;Ocupado;2;0hs 4min 18s;0;Ocupado;1;0hs 13min 46s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;3;1;5hs 25min 46s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;2;0hs 0min 46s;1;Ocupado;1;0hs 10min 14s;Libre; - ;0hs 0min 0s;0
Fin atencion Balanza;2;1;5hs 26min 32s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;3;..hs ..min ..s;0;Ocupado;1;0hs 9min 28s;Libre; - ;0hs 0min 0s;1
Llega camion;4;1;5hs 29min 38s;0hs 7min 55s;Libre; - ;0hs 0min 0s;1;Ocupado;3;0hs 3min 34s;0;Ocupado;1;0hs 6min 22s;Ocupado;2;0hs 15min 0s;0
Fin atencion Balanza;3;1;5hs 33min 12s;0hs 0min 0s;Ocupado;4;0hs 2min 26s;0;Libre; - ;..hs ..min ..s;0;Ocupado;1;0hs 2min 48s;Ocupado;2;0hs 11min 26s;1
Fin atencion Recepcion;4;1;5hs 35min 39s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;1;0hs 0min 21s;Ocupado;2;0hs 8min 59s;1
Fin atencion Darsena 1;1;1;5hs 36min 0s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;4;0hs 6min 5s;0;Ocupado;3;0hs 15min 18s;Ocupado;2;0hs 8min 37s;0
Llega camion;5;1;5hs 37min 34s;0hs 7min 33s;Libre; - ;0hs 0min 0s;1;Ocupado;4;0hs 4min 32s;0;Ocupado;3;0hs 13min 45s;Ocupado;2;0hs 7min 4s;0
Fin atencion Balanza;4;1;5hs 42min 6s;0hs 0min 0s;Ocupado;5;0hs 0min 54s;0;Libre; - ;..hs ..min ..s;0;Ocupado;3;0hs 9min 13s;Ocupado;2;0hs 2min 32s;1
Fin atencion Recepcion;5;1;5hs 43min 1s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;3;0hs 8min 18s;Ocupado;2;0hs 1min 37s;1
Fin atencion Darsena 2;2;1;5hs 44min 38s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;5;0hs 3min 23s;0;Ocupado;3;0hs 6min 40s;Ocupado;4;0hs 6min 40s;0
Llega camion;6;1;5hs 45min 8s;0hs 7min 36s;Libre; - ;0hs 0min 0s;1;Ocupado;5;0hs 2min 54s;0;Ocupado;3;0hs 6min 11s;Ocupado;4;0hs 17min 3s;0
Fin atencion Balanza;5;1;5hs 48min 2s;0hs 0min 0s;Ocupado;6;0hs 2min 52s;0;Libre; - ;..hs ..min ..s;0;Ocupado;3;0hs 3min 17s;Ocupado;4;0hs 14min 9s;1
Fin atencion Recepcion;6;1;5hs 50min 55s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;3;0hs 0min 24s;Ocupado;4;0hs 11min 16s;1
Fin atencion Darsena 1;3;1;5hs 51min 19s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;6;0hs 5min 44s;0;Ocupado;5;0hs 19min 48s;Ocupado;4;0hs 10min 51s;0
Llega camion;7;1;5hs 52min 45s;0hs 7min 55s;Libre; - ;0hs 0min 0s;1;Ocupado;6;0hs 4min 19s;0;Ocupado;5;0hs 18min 23s;Ocupado;4;0hs 9min 26s;0
Fin atencion Recepcion;7;1;5hs 56min 57s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;6;0hs 0min 7s;1;Ocupado;5;0hs 14min 11s;Ocupado;4;0hs 5min 14s;0
Fin atencion Balanza;6;1;5hs 57min 4s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;7;..hs ..min ..s;0;Ocupado;5;0hs 14min 4s;Ocupado;4;0hs 5min 7s;1
Llega camion;8;1;6hs 0min 41s;0hs 7min 5s;Libre; - ;0hs 0min 0s;1;Ocupado;7;0hs 1min 39s;0;Ocupado;5;0hs 10min 27s;Ocupado;4;0hs 1min 30s;1
Fin atencion Darsena 2;4;1;6hs 2min 11s;0hs 0min 0s;Ocupado;8;0hs 4min 31s;0;Ocupado;7;0hs 0min 8s;0;Ocupado;5;0hs 8min 56s;Ocupado;6;0hs 8min 56s;0
Fin atencion Balanza;7;1;6hs 2min 20s;0hs 0min 0s;Ocupado;8;0hs 4min 22s;0;Libre; - ;..hs ..min ..s;0;Ocupado;5;0hs 8min 48s;Ocupado;6;0hs 18min 32s;1
Fin atencion Recepcion;8;1;6hs 6min 43s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;5;0hs 4min 25s;Ocupado;6;0hs 14min 9s;2
Llega camion;9;1;6hs 7min 47s;0hs 7min 31s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;5;0hs 3min 21s;Ocupado;6;0hs 13min 5s;2
Fin atencion Darsena 1;5;1;6hs 11min 8s;0hs 0min 0s;Ocupado;9;0hs 2min 13s;0;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 16min 52s;Ocupado;6;0hs 9min 43s;1
Fin atencion Recepcion;9;1;6hs 13min 22s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;7;0hs 14min 39s;Ocupado;6;0hs 7min 30s;1
Llega camion;10;1;6hs 15min 19s;0hs 7min 6s;Libre; - ;0hs 0min 0s;1;Ocupado;9;0hs 4min 4s;0;Ocupado;7;0hs 12min 42s;Ocupado;6;0hs 5min 33s;1
Fin atencion Balanza;9;1;6hs 19min 23s;0hs 0min 0s;Ocupado;10;0hs 1min 20s;0;Libre; - ;..hs ..min ..s;0;Ocupado;7;0hs 8min 38s;Ocupado;6;0hs 1min 29s;2
Fin atencion Recepcion;10;1;6hs 20min 44s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;7;0hs 7min 17s;Ocupado;6;0hs 0min 8s;2
Fin atencion Darsena 2;6;1;6hs 20min 52s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;10;0hs 5min 17s;0;Ocupado;7;0hs 7min 8s;Ocupado;8;0hs 7min 8s;1
Llega camion;11;1;6hs 22min 26s;0hs 7min 6s;Libre; - ;0hs 0min 0s;1;Ocupado;10;0hs 3min 44s;0;Ocupado;7;0hs 5min 35s;Ocupado;8;0hs 14min 57s;1
Fin atencion Balanza;10;1;6hs 26min 10s;0hs 0min 0s;Ocupado;11;0hs 1min 21s;0;Libre; - ;..hs ..min ..s;0;Ocupado;7;0hs 1min 51s;Ocupado;8;0hs 11min 13s;2
Fin atencion Recepcion;11;1;6hs 27min 32s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 0min 29s;Ocupado;8;0hs 9min 51s;3
Fin atencion Darsena 1;7;1;6hs 28min 1s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Ocupado;9;0hs 16min 21s;Ocupado;8;0hs 9min 21s;2
Llega camion;12;1;6hs 29min 33s;0hs 7min 49s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;9;0hs 14min 50s;Ocupado;8;0hs 7min 50s;2
Fin atencion Recepcion;12;1;6hs 32min 37s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;9;0hs 11min 46s;Ocupado;8;0hs 4min 46s;2
Llega camion;13;1;6hs 37min 23s;0hs 7min 6s;Libre; - ;0hs 0min 0s;1;Ocupado;12;0hs 0min 35s;0;Ocupado;9;0hs 7min 0s;Ocupado;8;0hs 0min 0s;2
Fin atencion Darsena 2;8;1;6hs 37min 23s;0hs 7min 6s;Ocupado;13;0hs 3min 53s;0;Ocupado;12;0hs 0min 34s;0;Ocupado;9;0hs 6min 59s;Ocupado;10;0hs 6min 59s;1
Fin atencion Balanza;12;1;6hs 37min 58s;0hs 0min 0s;Ocupado;13;0hs 3min 18s;0;Libre; - ;..hs ..min ..s;0;Ocupado;9;0hs 6min 25s;Ocupado;10;0hs 19min 6s;2
Fin atencion Recepcion;13;1;6hs 41min 17s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;9;0hs 3min 6s;Ocupado;10;0hs 15min 47s;3
Fin atencion Darsena 1;9;1;6hs 44min 23s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 16min 1s;Ocupado;10;0hs 12min 40s;2
Llega camion;14;1;6hs 44min 30s;0hs 7min 15s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 15min 55s;Ocupado;10;0hs 12min 34s;2
Fin atencion Recepcion;14;1;6hs 48min 16s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 12min 9s;Ocupado;10;0hs 8min 48s;3
Llega camion;15;1;6hs 51min 46s;0hs 7min 12s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 8min 39s;Ocupado;10;0hs 5min 18s;3
Fin atencion Recepcion;15;1;6hs 56min 59s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;11;0hs 3min 26s;Ocupado;10;0hs 0min 5s;3
Fin atencion Darsena 2;10;1;6hs 57min 4s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;15;0hs 5min 8s;0;Ocupado;11;0hs 3min 20s;Ocupado;12;0hs 3min 20s;2
Llega camion;16;1;6hs 58min 59s;0hs 7min 49s;Libre; - ;0hs 0min 0s;1;Ocupado;15;0hs 3min 14s;0;Ocupado;11;0hs 1min 26s;Ocupado;12;0hs 15min 37s;2
Fin atencion Darsena 1;11;1;7hs 0min 25s;0hs 0min 0s;Ocupado;16;0hs 4min 32s;0;Ocupado;15;0hs 1min 47s;0;Ocupado;13;0hs 19min 23s;Ocupado;12;0hs 14min 10s;1
Fin atencion Balanza;15;1;7hs 2min 13s;0hs 0min 0s;Ocupado;16;0hs 2min 44s;0;Libre; - ;..hs ..min ..s;0;Ocupado;13;0hs 17min 36s;Ocupado;12;0hs 12min 23s;2
Fin atencion Recepcion;16;1;7hs 4min 58s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;13;0hs 14min 51s;Ocupado;12;0hs 9min 38s;2
Llega camion;17;1;7hs 6min 49s;0hs 7min 23s;Libre; - ;0hs 0min 0s;1;Ocupado;16;0hs 3min 30s;0;Ocupado;13;0hs 13min 0s;Ocupado;12;0hs 7min 47s;2
Fin atencion Balanza;16;1;7hs 10min 19s;0hs 0min 0s;Ocupado;17;0hs 1min 1s;0;Libre; - ;..hs ..min ..s;0;Ocupado;13;0hs 9min 30s;Ocupado;12;0hs 4min 17s;3
Fin atencion Recepcion;17;1;7hs 11min 21s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;13;0hs 8min 28s;Ocupado;12;0hs 3min 15s;3
Llega camion;18;1;7hs 14min 13s;0hs 7min 43s;Libre; - ;0hs 0min 0s;1;Ocupado;17;0hs 3min 22s;0;Ocupado;13;0hs 5min 36s;Ocupado;12;0hs 0min 23s;3
Fin atencion Darsena 2;12;1;7hs 14min 36s;0hs 0min 0s;Ocupado;18;0hs 4min 49s;0;Ocupado;17;0hs 2min 58s;0;Ocupado;13;0hs 5min 12s;Ocupado;14;0hs 5min 12s;2
Fin atencion Balanza;17;1;7hs 17min 35s;0hs 0min 0s;Ocupado;18;0hs 1min 50s;0;Libre; - ;..hs ..min ..s;0;Ocupado;13;0hs 2min 14s;Ocupado;14;0hs 13min 34s;3
Fin atencion Recepcion;18;1;7hs 19min 26s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;13;0hs 0min 23s;Ocupado;14;0hs 11min 43s;3
Fin atencion Darsena 1;13;1;7hs 19min 49s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;18;0hs 6min 9s;0;Ocupado;15;0hs 16min 31s;Ocupado;14;0hs 11min 19s;2
Llega camion;19;1;7hs 21min 57s;0hs 7min 50s;Libre; - ;0hs 0min 0s;1;Ocupado;18;0hs 4min 2s;0;Ocupado;15;0hs 14min 24s;Ocupado;14;0hs 9min 12s;2
Fin atencion Recepcion;19;1;7hs 25min 49s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;18;0hs 0min 10s;1;Ocupado;15;0hs 10min 32s;Ocupado;14;0hs 5min 20s;2
Fin atencion Balanza;18;1;7hs 25min 59s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;19;..hs ..min ..s;0;Ocupado;15;0hs 10min 22s;Ocupado;14;0hs 5min 10s;3
Llega camion;20;1;7hs 29min 48s;0hs 7min 13s;Libre; - ;0hs 0min 0s;1;Ocupado;19;0hs 1min 29s;0;Ocupado;15;0hs 6min 33s;Ocupado;14;0hs 1min 21s;3
Fin atencion Darsena 2;14;1;7hs 31min 9s;0hs 0min 0s;Ocupado;20;0hs 4min 3s;0;Ocupado;19;0hs 0min 7s;0;Ocupado;15;0hs 5min 11s;Ocupado;16;0hs 5min 11s;2
Fin atencion Balanza;19;1;7hs 31min 17s;0hs 0min 0s;Ocupado;20;0hs 3min 55s;0;Libre; - ;..hs ..min ..s;0;Ocupado;15;0hs 5min 4s;Ocupado;16;0hs 16min 10s;3
Fin atencion Recepcion;20;1;7hs 35min 13s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;15;0hs 1min 8s;Ocupado;16;0hs 12min 14s;3
Fin atencion Darsena 1;15;1;7hs 36min 21s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;20;0hs 5min 22s;0;Ocupado;17;0hs 15min 8s;Ocupado;16;0hs 11min 5s;2
Llega camion;21;1;7hs 37min 2s;0hs 7min 30s;Libre; - ;0hs 0min 0s;1;Ocupado;20;0hs 4min 42s;0;Ocupado;17;0hs 14min 28s;Ocupado;16;0hs 10min 25s;2
Fin atencion Recepcion;21;1;7hs 40min 41s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;20;0hs 1min 3s;0;Ocupado;17;0hs 10min 49s;Ocupado;16;0hs 6min 46s;3
Fin atencion Balanza;20;1;7hs 41min 44s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;0;Ocupado;17;0hs 9min 46s;Ocupado;16;0hs 5min 43s;4
Llega camion;22;1;7hs 44min 33s;0hs 7min 44s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;17;0hs 6min 57s;Ocupado;16;0hs 2min 54s;4
Fin atencion Darsena 2;16;1;7hs 47min 27s;0hs 0min 0s;Ocupado;22;0hs 1min 11s;0;Libre; - ;0hs 0min 0s;0;Ocupado;17;0hs 4min 2s;Ocupado;18;0hs 4min 2s;3
Fin atencion Recepcion;22;1;7hs 48min 39s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;17;0hs 2min 51s;Ocupado;18;0hs 14min 19s;3
Fin atencion Darsena 1;17;1;7hs 51min 30s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;22;0hs 2min 30s;0;Ocupado;19;0hs 17min 27s;Ocupado;18;0hs 11min 27s;2
Llega camion;23;1;7hs 52min 18s;0hs 7min 8s;Libre; - ;0hs 0min 0s;1;Ocupado;22;0hs 1min 43s;0;Ocupado;19;0hs 16min 40s;Ocupado;18;0hs 10min 40s;2
Fin atencion Balanza;22;1;7hs 54min 1s;0hs 0min 0s;Ocupado;23;0hs 4min 5s;0;Libre; - ;..hs ..min ..s;0;Ocupado;19;0hs 14min 57s;Ocupado;18;0hs 8min 57s;3
Fin atencion Recepcion;23;1;7hs 58min 7s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;19;0hs 10min 51s;Ocupado;18;0hs 4min 51s;3
Llega camion;24;1;7hs 59min 27s;0hs 7min 25s;Libre; - ;0hs 0min 0s;1;Ocupado;23;0hs 4min 25s;0;Ocupado;19;0hs 9min 31s;Ocupado;18;0hs 3min 31s;3
Fin atencion Darsena 2;18;1;8hs 2min 58s;0hs 0min 0s;Ocupado;24;0hs 1min 0s;0;Ocupado;23;0hs 0min 53s;0;Ocupado;19;0hs 5min 59s;Ocupado;21;0hs 5min 59s;2
Fin atencion Balanza;23;1;8hs 3min 52s;0hs 0min 0s;Ocupado;24;0hs 0min 6s;0;Libre; - ;..hs ..min ..s;0;Ocupado;19;0hs 5min 6s;Ocupado;21;0hs 15min 42s;3
Fin atencion Recepcion;24;1;8hs 3min 59s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;19;0hs 4min 59s;Ocupado;21;0hs 15min 35s;3
Llega camion;25;1;8hs 6min 53s;0hs 7min 25s;Libre; - ;0hs 0min 0s;1;Ocupado;24;0hs 2min 25s;0;Ocupado;19;0hs 2min 5s;Ocupado;21;0hs 12min 41s;3
Fin atencion Darsena 1;19;1;8hs 8min 58s;0hs 0min 0s;Ocupado;25;0hs 1min 12s;0;Ocupado;24;0hs 0min 19s;0;Ocupado;20;0hs 15min 42s;Ocupado;21;0hs 10min 35s;2
Fin atencion Balanza;24;1;8hs 9min 18s;0hs 0min 0s;Ocupado;25;0hs 0min 52s;0;Libre; - ;..hs ..min ..s;0;Ocupado;20;0hs 15min 23s;Ocupado;21;0hs 10min 16s;3
Fin atencion Recepcion;25;1;8hs 10min 11s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;20;0hs 14min 30s;Ocupado;21;0hs 9min 23s;4
Llega camion;26;1;8hs 14min 19s;0hs 7min 49s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;20;0hs 10min 22s;Ocupado;21;0hs 5min 15s;4
Fin atencion Recepcion;26;1;8hs 19min 18s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;20;0hs 5min 23s;Ocupado;21;0hs 0min 16s;5
Fin atencion Darsena 2;21;1;8hs 19min 34s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Ocupado;20;0hs 5min 6s;Ocupado;22;0hs 5min 6s;4
Llega camion;27;1;8hs 22min 9s;0hs 7min 43s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;20;0hs 2min 32s;Ocupado;22;0hs 14min 12s;4
Fin atencion Darsena 1;20;1;8hs 24min 41s;0hs 0min 0s;Ocupado;27;0hs 3min 24s;0;Libre; - ;0hs 0min 0s;0;Ocupado;23;0hs 15min 3s;Ocupado;22;0hs 11min 39s;3
Fin atencion Recepcion;27;1;8hs 28min 6s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;23;0hs 11min 39s;Ocupado;22;0hs 8min 15s;3
Llega camion;28;1;8hs 29min 53s;0hs 7min 2s;Libre; - ;0hs 0min 0s;1;Ocupado;27;0hs 4min 18s;0;Ocupado;23;0hs 9min 52s;Ocupado;22;0hs 6min 28s;3
Fin atencion Balanza;27;1;8hs 34min 11s;0hs 0min 0s;Ocupado;28;0hs 1min 46s;0;Libre; - ;..hs ..min ..s;0;Ocupado;23;0hs 5min 34s;Ocupado;22;0hs 2min 10s;4
Fin atencion Recepcion;28;1;8hs 35min 58s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;23;0hs 3min 47s;Ocupado;22;0hs 0min 23s;5
Fin atencion Darsena 2;22;1;8hs 36min 21s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Ocupado;23;0hs 3min 23s;Ocupado;24;0hs 3min 23s;4
Llega camion;29;1;8hs 36min 56s;0hs 7min 54s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;23;0hs 2min 49s;Ocupado;24;0hs 18min 6s;4
Fin atencion Darsena 1;23;1;8hs 39min 45s;0hs 0min 0s;Ocupado;29;0hs 1min 15s;0;Libre; - ;0hs 0min 0s;0;Ocupado;25;0hs 16min 15s;Ocupado;24;0hs 15min 16s;3
Fin atencion Recepcion;29;1;8hs 41min 1s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;25;0hs 15min 0s;Ocupado;24;0hs 14min 1s;3
Llega camion;30;1;8hs 44min 51s;0hs 7min 52s;Libre; - ;0hs 0min 0s;1;Ocupado;29;0hs 1min 25s;0;Ocupado;25;0hs 11min 10s;Ocupado;24;0hs 10min 11s;3
Fin atencion Balanza;29;1;8hs 46min 16s;0hs 0min 0s;Ocupado;30;0hs 5min 31s;0;Libre; - ;..hs ..min ..s;0;Ocupado;25;0hs 9min 45s;Ocupado;24;0hs 8min 46s;4
Fin atencion Recepcion;30;1;8hs 51min 48s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;25;0hs 4min 13s;Ocupado;24;0hs 3min 14s;4
Llega camion;31;1;8hs 52min 44s;0hs 7min 59s;Libre; - ;0hs 0min 0s;1;Ocupado;30;0hs 5min 39s;0;Ocupado;25;0hs 3min 17s;Ocupado;24;0hs 2min 18s;4
Fin atencion Darsena 2;24;1;8hs 55min 2s;0hs 0min 0s;Ocupado;31;0hs 2min 19s;0;Ocupado;30;0hs 3min 20s;0;Ocupado;25;0hs 0min 58s;Ocupado;26;0hs 0min 58s;3
Fin atencion Darsena 1;25;1;8hs 56min 1s;0hs 0min 0s;Ocupado;31;0hs 1min 20s;0;Ocupado;30;0hs 2min 21s;0;Ocupado;27;0hs 17min 26s;Ocupado;26;0hs 16min 7s;2
Fin atencion Recepcion;31;1;8hs 57min 22s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;30;0hs 1min 1s;0;Ocupado;27;0hs 16min 6s;Ocupado;26;0hs 14min 47s;3
Fin atencion Balanza;30;1;8hs 58min 23s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;0;Ocupado;27;0hs 15min 5s;Ocupado;26;0hs 13min 46s;4
Llega camion;32;1;9hs 0min 44s;0hs 7min 46s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;27;0hs 12min 44s;Ocupado;26;0hs 11min 25s;4
Fin atencion Recepcion;32;1;9hs 6min 58s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;27;0hs 6min 30s;Ocupado;26;0hs 5min 11s;4
Llega camion;33;1;9hs 8min 31s;0hs 7min 30s;Libre; - ;0hs 0min 0s;1;Ocupado;32;0hs 3min 37s;0;Ocupado;27;0hs 4min 57s;Ocupado;26;0hs 3min 38s;4
Fin atencion Recepcion;33;1;9hs 11min 59s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;32;0hs 0min 9s;1;Ocupado;27;0hs 1min 29s;Ocupado;26;0hs 0min 10s;4
Fin atencion Balanza;32;1;9hs 12min 8s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;33;..hs ..min ..s;0;Ocupado;27;0hs 1min 20s;Ocupado;26;0hs 0min 1s;5
Fin atencion Darsena 2;26;1;9hs 12min 9s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;33;0hs 5min 58s;0;Ocupado;27;0hs 1min 18s;Ocupado;28;0hs 1min 18s;4
Fin atencion Darsena 1;27;1;9hs 13min 28s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;33;0hs 4min 39s;0;Ocupado;29;0hs 19min 21s;Ocupado;28;0hs 18min 33s;3
Llega camion;34;1;9hs 16min 2s;0hs 7min 49s;Libre; - ;0hs 0min 0s;1;Ocupado;33;0hs 2min 6s;0;Ocupado;29;0hs 22min 2s;Ocupado;28;0hs 16min 0s;3
Fin atencion Balanza;33;1;9hs 18min 8s;0hs 0min 0s;Ocupado;34;0hs 3min 23s;0;Libre; - ;..hs ..min ..s;0;Ocupado;29;0hs 19min 56s;Ocupado;28;0hs 13min 54s;4
Fin atencion Recepcion;34;1;9hs 21min 32s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;29;0hs 16min 32s;Ocupado;28;0hs 10min 30s;4
Llega camion;35;1;9hs 23min 52s;0hs 7min 45s;Libre; - ;0hs 0min 0s;1;Ocupado;34;0hs 3min 55s;0;Ocupado;29;0hs 14min 12s;Ocupado;28;0hs 8min 10s;4
Fin atencion Balanza;34;1;9hs 27min 47s;0hs 0min 0s;Ocupado;35;0hs 2min 55s;0;Libre; - ;..hs ..min ..s;0;Ocupado;29;0hs 10min 17s;Ocupado;28;0hs 4min 15s;5
Fin atencion Recepcion;35;1;9hs 30min 43s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;29;0hs 7min 21s;Ocupado;28;0hs 1min 19s;5
Llega camion;36;1;9hs 31min 38s;0hs 7min 15s;Libre; - ;0hs 0min 0s;1;Ocupado;35;0hs 5min 32s;0;Ocupado;29;0hs 6min 26s;Ocupado;28;0hs 0min 24s;5
Fin atencion Darsena 2;28;1;9hs 32min 2s;0hs 0min 0s;Ocupado;36;0hs 4min 55s;0;Ocupado;35;0hs 5min 7s;0;Ocupado;29;0hs 6min 1s;Ocupado;31;0hs 6min 1s;4
